index,phase,pattern,scene_title,scene_title_sub,scene_desc,characters,concepts_new,concept_prereqs,key_terms_new,key_term_defs,reference_type,reference_topic,review_concepts,review_terms,review_source,narrative_subplot,notes
1,1,A,The First Meeting,Ren meets his new client — and her PM,"Ren arrives at Kurosawa Digital's office for the kickoff meeting. Saki greets him with a formal handshake and a thick requirements binder. Their styles clash immediately.","Ren,Saki",Project lifecycle & phases,,,,,,,,,"Ren is nervous but covers it with humor. Saki is unimpressed by his lack of documentation. First spark of tension.",Phase 1 opener — establish characters and setting
2,1,B,The Project Bible,What a charter really says,"Pulse Works receives Kurosawa Digital's official project charter for the XR platform build. The document reveals scope, objectives, and constraints.","Ren,Hina",,,"project,phase,deliverable,milestone,kickoff","A temporary endeavor to create a unique product or result|A distinct stage in the project lifecycle with defined objectives|A tangible or intangible output produced during the project|A significant point or event in the project timeline|The initial meeting to formally start a project",project_charter,XR Platform Project Charter,,,,"Hina excitedly reads the charter aloud. Ren skims it — a habit Saki would disapprove of.",Introduce Hina and first reference material
3,1,C,Scope Shock,When the client wants everything,"Director Kudo drops by the kickoff wrap-up with 'a few more ideas' that threaten to double the project scope. Ren scrambles; Saki takes notes calmly.","Ren,Saki,Director Kudo",Stakeholder identification & analysis,1,"stakeholder,sponsor,project manager","An individual or group that may affect or be affected by the project|The person or group providing resources and support for the project|The person responsible for leading the project team and achieving objectives",,,Stakeholder identification & analysis,"stakeholder,project,phase","1,2","Director Kudo's casual scope additions frustrate Ren. Saki handles him diplomatically — Ren notices.",Introduce Director Kudo as the wildcard stakeholder
4,1,A,The Whiteboard War,Defining what's in and what's out,"Ren and Saki face off over a whiteboard, arguing about what belongs in the MVP scope. Tetsu joins remotely, asking pointed questions about technical feasibility.","Ren,Saki,Tetsu",Project charter & business case,1,,,,,,,,,"Ren wants to keep scope loose for creativity. Saki insists on formal boundaries. Their argument is heated but productive.",Introduce Tetsu — his first appearance via video call
5,1,B,Reading the Room,A stakeholder map takes shape,"Hina attempts to create a stakeholder register based on notes from the kickoff. She discovers the org chart is more complicated than expected.","Ren,Hina",,,"stakeholder register,power/interest grid,engagement level,influence,requirements","A document listing all identified stakeholders and their attributes|A tool classifying stakeholders by their authority and concern|The degree to which a stakeholder is involved in the project|The ability of a stakeholder to affect project decisions|Conditions or capabilities needed by a stakeholder",stakeholder_email,Director Kudo's follow-up email with new 'suggestions',,,,"Hina asks Ren why Saki was so formal at the meeting. Ren changes the subject.",Deepen stakeholder analysis through practical artifact
6,1,C,Drawing the Line,The scope statement gets real,"Ren presents a draft scope statement to Saki. She redlines half of it. They negotiate line by line while Director Kudo's assistant sends yet another feature request.","Ren,Saki",Scope definition & WBS,"3,4","scope statement,WBS,work package,scope baseline","A detailed description of the project scope including deliverables and boundaries|Work Breakdown Structure — a hierarchical decomposition of total project work|The lowest level of the WBS representing a manageable unit of work|The approved version of the scope statement and WBS",,,Project charter & business case;Stakeholder identification & analysis,"project manager,stakeholder register","3,4,5","Saki stays late to help Ren restructure the scope. She says it's 'just process.' Ren isn't sure.",First collaborative moment between Ren and Saki
7,1,A,What Do They Actually Need?,Requirements gathering begins,"Ren and Hina interview Kurosawa Digital's end users about what they need from the XR platform. The answers are contradictory and overwhelming.","Ren,Hina,Saki",Requirements gathering,"3,6",,,,,,,,,"Saki sends Ren a requirements template 'for reference' — her way of helping without admitting it.",Show the messiness of real requirements gathering
8,1,B,Time Is Money,The schedule takes shape,"Tetsu maps out the technical dependencies while Ren tries to build a realistic timeline. The gap between ambition and reality becomes clear.","Ren,Tetsu",,,"schedule,activity,dependency,lead time,lag time","A model showing planned dates for project activities and milestones|A distinct unit of work performed during the project|A logical relationship between two activities|The amount of time a successor activity can be advanced|The amount of time a successor activity is delayed",scope_document,XR Platform Scope Statement v1.0,,,,"Tetsu quietly notes he's already handling three other projects. Ren doesn't register the warning sign.",Begin surfacing Tetsu's workload — foreshadowing bottleneck
9,1,C,The Critical Question,Which tasks can't slip?,"During a planning session, Saki introduces the concept of critical path to Ren. He realizes several of Tetsu's tasks are on it — and Tetsu is already stretched thin.","Ren,Saki,Tetsu",Schedule management & critical path,"6,8","critical path,float,network diagram,forward pass","The longest sequence of dependent activities determining the shortest project duration|The amount of time an activity can be delayed without delaying the project|A graphical representation of activity dependencies|A technique to calculate early start and early finish dates",,,Requirements gathering;Scope definition & WBS,"WBS,dependency,schedule","6,7,8","Saki explains critical path with unexpected patience. Ren catches himself staring. Hina would notice if she were there.",Ren's first moment of genuine respect for Saki's expertise
10,1,A,The Estimation Game,How long will this really take?,"Pulse Works team debates estimates for the XR development sprints. Tetsu's conservative estimates clash with Ren's optimistic ones. Hina tries to mediate.","Ren,Tetsu,Hina",Resource planning & estimation,"8,9",,,,,,,,,"Tetsu pushes back on aggressive timelines. Ren starts to see the systemic problem but doesn't name it yet.",Set up the estimation vs. reality tension
